ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT
MPZL1	myelin protein zero like 1(MPZL1)	Homo sapiens	GO:0007165~signal transduction,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007267~cell-cell signaling,	GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0005925~focal adhesion,GO:0009986~cell surface,	GO:0005198~structural molecule activity,GO:0005515~protein binding,
MYO10	myosin X(MYO10)	Homo sapiens	GO:0007165~signal transduction,GO:0008360~regulation of cell shape,GO:0022409~positive regulation of cell-cell adhesion,GO:0030705~cytoskeleton-dependent intracellular transport,GO:0051489~regulation of filopodium assembly,	GO:0001726~ruffle,GO:0005730~nucleolus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005938~cell cortex,GO:0016459~myosin complex,GO:0030027~lamellipodium,GO:0030175~filopodium,GO:0031527~filopodium membrane,GO:0032433~filopodium tip,GO:0043005~neuron projection,GO:0043025~neuronal cell body,	GO:0000146~microfilament motor activity,GO:0003774~motor activity,GO:0003779~actin binding,GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0005524~ATP binding,GO:0005547~phosphatidylinositol-3,4,5-trisphosphate binding,GO:0030507~spectrin binding,GO:0051015~actin filament binding,GO:0060002~plus-end directed microfilament motor activity,
NENF	neudesin neurotrophic factor(NENF)	Homo sapiens	GO:0000165~MAPK cascade,GO:0032099~negative regulation of appetite,GO:0043410~positive regulation of MAPK cascade,GO:1901215~negative regulation of neuron death,	GO:0005615~extracellular space,GO:0005739~mitochondrion,GO:0005783~endoplasmic reticulum,GO:0012505~endomembrane system,GO:0016020~membrane,	GO:0005515~protein binding,GO:0008083~growth factor activity,GO:0046872~metal ion binding,
NGRN	neugrin, neurite outgrowth associated(NGRN)	Homo sapiens	GO:0030182~neuron differentiation,GO:0061668~mitochondrial ribosome assembly,GO:0070131~positive regulation of mitochondrial translation,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005739~mitochondrion,GO:0016604~nuclear body,GO:0031966~mitochondrial membrane,GO:0045171~intercellular bridge,GO:0072686~mitotic spindle,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0019843~rRNA binding,
NPDC1	neural proliferation, differentiation and control 1(NPDC1)	Homo sapiens		GO:0005886~plasma membrane,GO:0016021~integral component of membrane,	GO:0005515~protein binding,
NET1	neuroepithelial cell transforming 1(NET1)	Homo sapiens	GO:0001558~regulation of cell growth,GO:0007165~signal transduction,GO:0035025~positive regulation of Rho protein signal transduction,GO:0035556~intracellular signal transduction,GO:0043065~positive regulation of apoptotic process,GO:0043547~positive regulation of GTPase activity,GO:0051056~regulation of small GTPase mediated signal transduction,GO:0051451~myoblast migration,GO:0070301~cellular response to hydrogen peroxide,GO:0071479~cellular response to ionizing radiation,	GO:0005634~nucleus,GO:0005829~cytosol,	GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005515~protein binding,
NNT	nicotinamide nucleotide transhydrogenase(NNT)	Homo sapiens	GO:0001933~negative regulation of protein phosphorylation,GO:0006099~tricarboxylic acid cycle,GO:0006740~NADPH regeneration,GO:0010918~positive regulation of mitochondrial membrane potential,GO:0032364~oxygen homeostasis,GO:0033273~response to vitamin,GO:0043066~negative regulation of apoptotic process,GO:0045454~cell redox homeostasis,GO:0072593~reactive oxygen species metabolic process,GO:0098869~cellular oxidant detoxification,GO:1902600~hydrogen ion transmembrane transport,GO:1903285~positive regulation of hydrogen peroxide catabolic process,	GO:0005739~mitochondrion,GO:0005743~mitochondrial inner membrane,GO:0005746~mitochondrial respiratory chain,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0003957~NAD(P)+ transhydrogenase (B-specific) activity,GO:0008746~NAD(P)+ transhydrogenase activity,GO:0016491~oxidoreductase activity,GO:0050661~NADP binding,GO:0051287~NAD binding,
NIPSNAP1	nipsnap homolog 1(NIPSNAP1)	Homo sapiens	GO:0019233~sensory perception of pain,	GO:0005739~mitochondrion,GO:0097060~synaptic membrane,	GO:0005515~protein binding,GO:0042165~neurotransmitter binding,
NISCH	nischarin(NISCH)	Homo sapiens	GO:0006006~glucose metabolic process,GO:0006915~apoptotic process,GO:0008217~regulation of blood pressure,GO:0016601~Rac protein signal transduction,GO:0030036~actin cytoskeleton organization,GO:0030336~negative regulation of cell migration,GO:0032228~regulation of synaptic transmission, GABAergic,GO:0048243~norepinephrine secretion,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005769~early endosome,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0015630~microtubule cytoskeleton,GO:0016020~membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0045171~intercellular bridge,GO:0055037~recycling endosome,	GO:0005178~integrin binding,GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0035091~phosphatidylinositol binding,GO:0042802~identical protein binding,
NOSIP	nitric oxide synthase interacting protein(NOSIP)	Homo sapiens	GO:0016567~protein ubiquitination,GO:0043086~negative regulation of catalytic activity,GO:0051001~negative regulation of nitric-oxide synthase activity,	GO:0000139~Golgi membrane,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0061630~ubiquitin protein ligase activity,
NIT1	nitrilase 1(NIT1)	Homo sapiens	GO:0006807~nitrogen compound metabolic process,GO:0043605~cellular amide catabolic process,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,
NCAPD2	non-SMC condensin I complex subunit D2(NCAPD2)	Homo sapiens	GO:0007076~mitotic chromosome condensation,GO:0010032~meiotic chromosome condensation,GO:0051301~cell division,GO:1905821~positive regulation of chromosome condensation,	GO:0000228~nuclear chromosome,GO:0000779~condensed chromosome, centromeric region,GO:0000793~condensed chromosome,GO:0000796~condensin complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005694~chromosome,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,	GO:0003682~chromatin binding,GO:0005515~protein binding,GO:0042393~histone binding,
NVL	nuclear VCP like(NVL)	Homo sapiens	GO:0006364~rRNA processing,GO:0032092~positive regulation of protein binding,GO:0042254~ribosome biogenesis,GO:0042273~ribosomal large subunit biogenesis,GO:0051973~positive regulation of telomerase activity,GO:1904749~regulation of protein localization to nucleolus,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005697~telomerase holoenzyme complex,GO:0005730~nucleolus,GO:0016020~membrane,	GO:0003723~RNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:1990275~preribosome binding,
NFIL3	nuclear factor, interleukin 3 regulated(NFIL3)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001779~natural killer cell differentiation,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0006955~immune response,GO:0007623~circadian rhythm,GO:0010628~positive regulation of gene expression,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0071353~cellular response to interleukin-4,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0042802~identical protein binding,
NCOA3	nuclear receptor coactivator 3(NCOA3)	Homo sapiens	GO:0016573~histone acetylation,GO:0032870~cellular response to hormone stimulus,GO:0035624~receptor transactivation,GO:0043697~cell dedifferentiation,GO:0045618~positive regulation of keratinocyte differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0071392~cellular response to estradiol stimulus,GO:1902459~positive regulation of stem cell population maintenance,GO:2000035~regulation of stem cell division,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0032991~macromolecular complex,GO:0070062~extracellular exosome,	GO:0000993~RNA polymerase II core binding,GO:0003713~transcription coactivator activity,GO:0004402~histone acetyltransferase activity,GO:0005515~protein binding,GO:0016922~ligand-dependent nuclear receptor binding,GO:0030374~ligand-dependent nuclear receptor transcription coactivator activity,GO:0046966~thyroid hormone receptor binding,GO:0046983~protein dimerization activity,GO:0047485~protein N-terminus binding,GO:0097718~disordered domain specific binding,
NRIP1	nuclear receptor interacting protein 1(NRIP1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001543~ovarian follicle rupture,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007623~circadian rhythm,GO:0019915~lipid storage,GO:0032922~circadian regulation of gene expression,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0071392~cellular response to estradiol stimulus,	GO:0000118~histone deacetylase complex,GO:0000785~chromatin,GO:0001650~fibrillar center,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005829~cytosol,GO:0016607~nuclear speck,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0003712~transcription cofactor activity,GO:0003713~transcription coactivator activity,GO:0003714~transcription corepressor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0016922~ligand-dependent nuclear receptor binding,GO:0030331~estrogen receptor binding,GO:0035259~glucocorticoid receptor binding,GO:0042826~histone deacetylase binding,GO:0046965~retinoid X receptor binding,
NR1H2	nuclear receptor subfamily 1 group H member 2(NR1H2)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006629~lipid metabolic process,GO:0010628~positive regulation of gene expression,GO:0010629~negative regulation of gene expression,GO:0010745~negative regulation of macrophage derived foam cell differentiation,GO:0010867~positive regulation of triglyceride biosynthetic process,GO:0010875~positive regulation of cholesterol efflux,GO:0010884~positive regulation of lipid storage,GO:0010887~negative regulation of cholesterol storage,GO:0030154~cell differentiation,GO:0031667~response to nutrient levels,GO:0032270~positive regulation of cellular protein metabolic process,GO:0032369~negative regulation of lipid transport,GO:0032376~positive regulation of cholesterol transport,GO:0036151~phosphatidylcholine acyl-chain remodeling,GO:0042632~cholesterol homeostasis,GO:0045723~positive regulation of fatty acid biosynthetic process,GO:0045861~negative regulation of proteolysis,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048384~retinoic acid receptor signaling pathway,GO:0048550~negative regulation of pinocytosis,GO:0051006~positive regulation of lipoprotein lipase activity,GO:0051247~positive regulation of protein metabolic process,GO:0060336~negative regulation of interferon-gamma-mediated signaling pathway,GO:0090108~positive regulation of high-density lipoprotein particle assembly,GO:0090187~positive regulation of pancreatic juice secretion,GO:0090340~positive regulation of secretion of lysosomal enzymes,GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter,GO:1903573~negative regulation of response to endoplasmic reticulum stress,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0031490~chromatin DNA binding,GO:0034191~apolipoprotein A-I receptor binding,GO:0043565~sequence-specific DNA binding,GO:0046965~retinoid X receptor binding,GO:0051117~ATPase binding,
NR2F6	nuclear receptor subfamily 2 group F member 6(NR2F6)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0030154~cell differentiation,GO:0030522~intracellular receptor signaling pathway,GO:0043153~entrainment of circadian clock by photoperiod,GO:0048666~neuron development,GO:0048856~anatomical structure development,GO:0050965~detection of temperature stimulus involved in sensory perception of pain,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0043565~sequence-specific DNA binding,GO:1990837~sequence-specific double-stranded DNA binding,
NR3C1	nuclear receptor subfamily 3 group C member 1(NR3C1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006111~regulation of gluconeogenesis,GO:0006325~chromatin organization,GO:0006355~regulation of transcription, DNA-templated,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006915~apoptotic process,GO:0007049~cell cycle,GO:0007059~chromosome segregation,GO:0007165~signal transduction,GO:0008211~glucocorticoid metabolic process,GO:0030325~adrenal gland development,GO:0030518~intracellular steroid hormone receptor signaling pathway,GO:0031946~regulation of glucocorticoid biosynthetic process,GO:0042711~maternal behavior,GO:0042921~glucocorticoid receptor signaling pathway,GO:0043402~glucocorticoid mediated signaling pathway,GO:0043525~positive regulation of neuron apoptotic process,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051301~cell division,GO:0060603~mammary gland duct morphogenesis,GO:0071383~cellular response to steroid hormone stimulus,GO:0071385~cellular response to glucocorticoid stimulus,GO:0071549~cellular response to dexamethasone stimulus,GO:0071560~cellular response to transforming growth factor beta stimulus,GO:1902895~positive regulation of pri-miRNA transcription from RNA polymerase II promoter,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0005815~microtubule organizing center,GO:0005819~spindle,GO:0005829~cytosol,GO:0016020~membrane,GO:0016607~nuclear speck,GO:0032991~macromolecular complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001046~core promoter sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003723~RNA binding,GO:0004879~RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding,GO:0004883~glucocorticoid receptor activity,GO:0005496~steroid binding,GO:0005515~protein binding,GO:0008270~zinc ion binding,GO:0019901~protein kinase binding,GO:0042802~identical protein binding,GO:0043565~sequence-specific DNA binding,GO:0051879~Hsp90 protein binding,GO:1990239~steroid hormone binding,GO:1990837~sequence-specific double-stranded DNA binding,
NUCB2	nucleobindin 2(NUCB2)	Homo sapiens	GO:0007264~small GTPase mediated signal transduction,GO:0032099~negative regulation of appetite,GO:0050790~regulation of catalytic activity,	GO:0005615~extracellular space,GO:0005635~nuclear envelope,GO:0005783~endoplasmic reticulum,GO:0005793~endoplasmic reticulum-Golgi intermediate compartment,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0070062~extracellular exosome,	GO:0001965~G-protein alpha-subunit binding,GO:0003677~DNA binding,GO:0005085~guanyl-nucleotide exchange factor activity,GO:0005509~calcium ion binding,GO:0005515~protein binding,
NOLC1	nucleolar and coiled-body phosphoprotein 1(NOLC1)	Homo sapiens	GO:0000278~mitotic cell cycle,GO:0006364~rRNA processing,GO:0006417~regulation of translation,GO:0006970~response to osmotic stress,GO:0007000~nucleolus organization,GO:0007409~axonogenesis,GO:0008284~positive regulation of cell proliferation,GO:0014029~neural crest formation,GO:0014032~neural crest cell development,GO:0033979~box H/ACA snoRNA metabolic process,GO:0042306~regulation of protein import into nucleus,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048167~regulation of synaptic plasticity,	GO:0001650~fibrillar center,GO:0005654~nucleoplasm,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0015030~Cajal body,GO:0031428~box C/D snoRNP complex,GO:0031429~box H/ACA snoRNP complex,	GO:0001093~TFIIB-class transcription factor binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0005525~GTP binding,GO:0008139~nuclear localization sequence binding,GO:0019904~protein domain specific binding,GO:0030674~protein binding, bridging,GO:0034512~box C/D snoRNA binding,GO:0034513~box H/ACA snoRNA binding,GO:0046982~protein heterodimerization activity,
NUSAP1	nucleolar and spindle associated protein 1(NUSAP1)	Homo sapiens	GO:0000070~mitotic sister chromatid segregation,GO:0000281~mitotic cytokinesis,GO:0007076~mitotic chromosome condensation,GO:0040001~establishment of mitotic spindle localization,GO:0045840~positive regulation of mitotic nuclear division,	GO:0005634~nucleus,GO:0005694~chromosome,GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005819~spindle,GO:0005874~microtubule,GO:0072686~mitotic spindle,	GO:0003677~DNA binding,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0008017~microtubule binding,
NOL3	nucleolar protein 3(NOL3)	Homo sapiens	GO:0001666~response to hypoxia,GO:0001974~blood vessel remodeling,GO:0002931~response to ischemia,GO:0006376~mRNA splice site selection,GO:0008380~RNA splicing,GO:0010468~regulation of gene expression,GO:0010659~cardiac muscle cell apoptotic process,GO:0010667~negative regulation of cardiac muscle cell apoptotic process,GO:0010804~negative regulation of tumor necrosis factor-mediated signaling pathway,GO:0014736~negative regulation of muscle atrophy,GO:0014808~release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0014876~response to injury involved in regulation of muscle adaptation,GO:0042981~regulation of apoptotic process,GO:0043066~negative regulation of apoptotic process,GO:0051259~protein oligomerization,GO:0060547~negative regulation of necrotic cell death,GO:0090201~negative regulation of release of cytochrome c from mitochondria,GO:0097193~intrinsic apoptotic signaling pathway,GO:1901222~regulation of NIK/NF-kappaB signaling,GO:1902109~negative regulation of mitochondrial membrane permeability involved in apoptotic process,GO:1902176~negative regulation of oxidative stress-induced intrinsic apoptotic signaling pathway,GO:1903298~negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway,GO:1990001~inhibition of cysteine-type endopeptidase activity involved in apoptotic process,GO:2001237~negative regulation of extrinsic apoptotic signaling pathway,GO:2001243~negative regulation of intrinsic apoptotic signaling pathway,	GO:0005730~nucleolus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005829~cytosol,GO:0016020~membrane,GO:0016528~sarcoplasm,GO:0016529~sarcoplasmic reticulum,	GO:0003723~RNA binding,GO:0005123~death receptor binding,GO:0005509~calcium ion binding,GO:0005515~protein binding,GO:0035877~death effector domain binding,GO:0042802~identical protein binding,GO:0043027~cysteine-type endopeptidase inhibitor activity involved in apoptotic process,GO:0089720~caspase binding,
NUP133	nucleoporin 133(NUP133)	Homo sapiens	GO:0000972~transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery,GO:0006406~mRNA export from nucleus,GO:0006606~protein import into nucleus,GO:0006913~nucleocytoplasmic transport,GO:0006999~nuclear pore organization,GO:0016973~poly(A)+ mRNA export from nucleus,GO:0021915~neural tube development,GO:0022008~neurogenesis,GO:0048339~paraxial mesoderm development,GO:0061053~somite development,GO:0072006~nephron development,	GO:0000776~kinetochore,GO:0005635~nuclear envelope,GO:0005643~nuclear pore,GO:0005829~cytosol,GO:0016020~membrane,GO:0031080~nuclear pore outer ring,GO:0031965~nuclear membrane,	GO:0005515~protein binding,GO:0017056~structural constituent of nuclear pore,
NUP62	nucleoporin 62(NUP62)	Homo sapiens	GO:0000278~mitotic cell cycle,GO:0006405~RNA export from nucleus,GO:0006606~protein import into nucleus,GO:0006913~nucleocytoplasmic transport,GO:0007080~mitotic metaphase plate congression,GO:0007098~centrosome cycle,GO:0007100~mitotic centrosome separation,GO:0007166~cell surface receptor signaling pathway,GO:0007283~spermatogenesis,GO:0007569~cell aging,GO:0008219~cell death,GO:0008285~negative regulation of cell proliferation,GO:0009966~regulation of signal transduction,GO:0015031~protein transport,GO:0042059~negative regulation of epidermal growth factor receptor signaling pathway,GO:0042306~regulation of protein import into nucleus,GO:0043066~negative regulation of apoptotic process,GO:0043069~negative regulation of programmed cell death,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043407~negative regulation of MAP kinase activity,GO:0045742~positive regulation of epidermal growth factor receptor signaling pathway,GO:0045840~positive regulation of mitotic nuclear division,GO:0045893~positive regulation of transcription, DNA-templated,GO:0046578~regulation of Ras protein signal transduction,GO:0046580~negative regulation of Ras protein signal transduction,GO:0046601~positive regulation of centriole replication,GO:0051028~mRNA transport,GO:0060236~regulation of mitotic spindle organization,GO:0090398~cellular senescence,GO:0098534~centriole assembly,GO:1903438~positive regulation of mitotic cytokinetic process,GO:1904781~positive regulation of protein localization to centrosome,	GO:0000922~spindle pole,GO:0005635~nuclear envelope,GO:0005642~annulate lamellae,GO:0005643~nuclear pore,GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005813~centrosome,GO:0031965~nuclear membrane,GO:0044613~nuclear pore central transport channel,GO:0072686~mitotic spindle,GO:0090543~Flemming body,GO:1990904~ribonucleoprotein complex,	GO:0003682~chromatin binding,GO:0005515~protein binding,GO:0005543~phospholipid binding,GO:0017056~structural constituent of nuclear pore,GO:0019894~kinesin binding,GO:0030159~receptor signaling complex scaffold activity,GO:0030544~Hsp70 protein binding,GO:0042169~SH2 domain binding,GO:0043130~ubiquitin binding,GO:0044877~macromolecular complex binding,GO:0051425~PTB domain binding,GO:0051879~Hsp90 protein binding,
NUP85	nucleoporin 85(NUP85)	Homo sapiens	GO:0006406~mRNA export from nucleus,GO:0006606~protein import into nucleus,GO:0006913~nucleocytoplasmic transport,GO:0015031~protein transport,GO:0030032~lamellipodium assembly,GO:0045893~positive regulation of transcription, DNA-templated,GO:0048246~macrophage chemotaxis,GO:0051028~mRNA transport,GO:0072006~nephron development,	GO:0000776~kinetochore,GO:0005635~nuclear envelope,GO:0005643~nuclear pore,GO:0005654~nucleoplasm,GO:0005819~spindle,GO:0005829~cytosol,GO:0016020~membrane,GO:0031080~nuclear pore outer ring,GO:0031965~nuclear membrane,	GO:0005515~protein binding,GO:0017056~structural constituent of nuclear pore,
NUP88	nucleoporin 88(NUP88)	Homo sapiens	GO:0000055~ribosomal large subunit export from nucleus,GO:0000056~ribosomal small subunit export from nucleus,GO:0000278~mitotic cell cycle,GO:0006406~mRNA export from nucleus,GO:0006606~protein import into nucleus,GO:0006913~nucleocytoplasmic transport,GO:0015031~protein transport,GO:0051028~mRNA transport,	GO:0005635~nuclear envelope,GO:0005643~nuclear pore,GO:0005654~nucleoplasm,GO:0005829~cytosol,	GO:0005215~transporter activity,GO:0005515~protein binding,GO:0017056~structural constituent of nuclear pore,
NUP93	nucleoporin 93(NUP93)	Homo sapiens	GO:0006606~protein import into nucleus,GO:0006913~nucleocytoplasmic transport,GO:0006998~nuclear envelope organization,GO:0015031~protein transport,GO:0016973~poly(A)+ mRNA export from nucleus,GO:0051028~mRNA transport,GO:0051292~nuclear pore complex assembly,GO:0060391~positive regulation of SMAD protein import into nucleus,GO:0060395~SMAD protein signal transduction,	GO:0005635~nuclear envelope,GO:0005643~nuclear pore,GO:0005813~centrosome,GO:0005829~cytosol,GO:0016020~membrane,GO:0031965~nuclear membrane,GO:0034399~nuclear periphery,	GO:0005515~protein binding,GO:0017056~structural constituent of nuclear pore,
NUDT9	nudix hydrolase 9(NUDT9)	Homo sapiens	GO:0006812~cation transport,GO:0046032~ADP catabolic process,GO:0046709~IDP catabolic process,GO:0055086~nucleobase-containing small molecule metabolic process,	GO:0005739~mitochondrion,GO:0005759~mitochondrial matrix,GO:0016604~nuclear body,GO:0030054~cell junction,GO:0031965~nuclear membrane,GO:0070062~extracellular exosome,	GO:0005227~calcium activated cation channel activity,GO:0005515~protein binding,GO:0016829~lyase activity,GO:0019144~ADP-sugar diphosphatase activity,GO:0047631~ADP-ribose diphosphatase activity,
ORC1	origin recognition complex subunit 1(ORC1)	Homo sapiens	GO:0006260~DNA replication,GO:0006270~DNA replication initiation,GO:0033314~mitotic DNA replication checkpoint,	GO:0000781~chromosome, telomeric region,GO:0000808~origin recognition complex,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005664~nuclear origin of replication recognition complex,GO:0005829~cytosol,	GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003688~DNA replication origin binding,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0016887~ATPase activity,GO:0046872~metal ion binding,
OXSR1	oxidative stress responsive kinase 1(OXSR1)	Homo sapiens	GO:0006468~protein phosphorylation,GO:0006979~response to oxidative stress,GO:0007165~signal transduction,GO:0007231~osmosensory signaling pathway,GO:0009410~response to xenobiotic stimulus,GO:0010820~positive regulation of T cell chemotaxis,GO:0018107~peptidyl-threonine phosphorylation,GO:0035556~intracellular signal transduction,GO:0038116~chemokine (C-C motif) ligand 21 signaling pathway,GO:0038146~chemokine (C-X-C motif) ligand 12 signaling pathway,GO:0046777~protein autophosphorylation,GO:0071476~cellular hypotonic response,GO:1901017~negative regulation of potassium ion transmembrane transporter activity,GO:1990869~cellular response to chemokine,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0070062~extracellular exosome,	GO:0000287~magnesium ion binding,GO:0004674~protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019901~protein kinase binding,GO:0042802~identical protein binding,
PAK4	p21 (RAC1) activated kinase 4(PAK4)	Homo sapiens	GO:0001558~regulation of cell growth,GO:0006468~protein phosphorylation,GO:0006915~apoptotic process,GO:0007010~cytoskeleton organization,GO:0007049~cell cycle,GO:0007165~signal transduction,GO:0016477~cell migration,GO:0032147~activation of protein kinase activity,GO:0035556~intracellular signal transduction,GO:0043408~regulation of MAPK cascade,GO:0045766~positive regulation of angiogenesis,GO:0060996~dendritic spine development,GO:0071407~cellular response to organic cyclic compound,GO:0098609~cell-cell adhesion,GO:2000352~negative regulation of endothelial cell apoptotic process,	GO:0005737~cytoplasm,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0005912~adherens junction,GO:0005925~focal adhesion,	GO:0004672~protein kinase activity,GO:0004674~protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0098641~cadherin binding involved in cell-cell adhesion,
