ID	Gene Name	Species	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	KEGG_PATHWAY	UP_KW_BIOLOGICAL_PROCESS	UP_KW_CELLULAR_COMPONENT	UP_KW_MOLECULAR_FUNCTION	UP_KW_PTM	UP_SEQ_FEATURE
TJP1	tight junction protein 1(TJP1)	Homo sapiens	GO:0001825~blastocyst formation,GO:0007043~cell-cell junction assembly,GO:0007605~sensory perception of sound,GO:0008284~positive regulation of cell proliferation,GO:0030335~positive regulation of cell migration,GO:0031032~actomyosin structure organization,GO:0032496~response to lipopolysaccharide,GO:0034334~adherens junction maintenance,GO:0035633~maintenance of permeability of blood-brain barrier,GO:0042493~response to drug,GO:0043066~negative regulation of apoptotic process,GO:0043116~negative regulation of vascular permeability,GO:0045216~cell-cell junction organization,GO:0045471~response to ethanol,GO:0051493~regulation of cytoskeleton organization,GO:0051497~negative regulation of stress fiber assembly,GO:0071000~response to magnetism,GO:0071333~cellular response to glucose stimulus,GO:0071896~protein localization to adherens junction,GO:0090557~establishment of endothelial intestinal barrier,GO:0098609~cell-cell adhesion,GO:1901888~regulation of cell junction assembly,GO:1902396~protein localization to bicellular tight junction,GO:1903672~positive regulation of sprouting angiogenesis,GO:1905605~positive regulation of maintenance of permeability of blood-brain barrier,GO:2000049~positive regulation of cell-cell adhesion mediated by cadherin,GO:2000250~negative regulation of actin cytoskeleton reorganization,GO:2000810~regulation of bicellular tight junction assembly,	GO:0002102~podosome,GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0005912~adherens junction,GO:0005921~gap junction,GO:0005923~bicellular tight junction,GO:0014704~intercalated disc,GO:0016323~basolateral plasma membrane,GO:0016324~apical plasma membrane,GO:0016327~apicolateral plasma membrane,GO:0030054~cell junction,GO:0032991~macromolecular complex,GO:0042995~cell projection,GO:0043296~apical junction complex,GO:0045177~apical part of cell,GO:0046581~intercellular canaliculus,GO:0070160~occluding junction,	GO:0005515~protein binding,GO:0005516~calmodulin binding,GO:0008022~protein C-terminus binding,GO:0019904~protein domain specific binding,GO:0045296~cadherin binding,GO:0050839~cell adhesion molecule binding,GO:0071253~connexin binding,	hsa04520:Adherens junction,hsa04530:Tight junction,hsa04540:Gap junction,hsa05110:Vibrio cholerae infection,hsa05120:Epithelial cell signaling in Helicobacter pylori infection,hsa05130:Pathogenic Escherichia coli infection,		KW-0303~Gap junction,KW-0472~Membrane,KW-0796~Tight junction,KW-0965~Cell junction,KW-0966~Cell projection,KW-1003~Cell membrane,	KW-0112~Calmodulin-binding,	KW-0597~Phosphoprotein,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Basic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:Guanylate kinase-like,DOMAIN:PDZ,DOMAIN:PDZ 1,DOMAIN:PDZ 2,DOMAIN:PDZ 3,DOMAIN:SH3,DOMAIN:ZU5,MUTAGEN:K->A: Abolishes interaction with GJA1.,MUTAGEN:MC->AA: Abolishes interaction with CDC42BPB.,MUTAGEN:Missing: Abolishes interaction with CDC42BPB and MYZAP.,MUTAGEN:R->A: Strongly reduced interaction with GJA1.,REGION:Actin-binding region (ABR),REGION:Disordered,REGION:Occludin (OCLN)-binding region,
TIMELESS	timeless circadian regulator(TIMELESS)	Homo sapiens	GO:0000076~DNA replication checkpoint,GO:0002009~morphogenesis of an epithelium,GO:0006281~DNA repair,GO:0006974~cellular response to DNA damage stimulus,GO:0007623~circadian rhythm,GO:0009582~detection of abiotic stimulus,GO:0030324~lung development,GO:0042752~regulation of circadian rhythm,GO:0043111~replication fork arrest,GO:0044770~cell cycle phase transition,GO:0045892~negative regulation of transcription, DNA-templated,GO:0048478~replication fork protection,GO:0048754~branching morphogenesis of an epithelial tube,GO:0051301~cell division,GO:0072711~cellular response to hydroxyurea,GO:0072719~cellular response to cisplatin,GO:1904976~cellular response to bleomycin,GO:1905168~positive regulation of double-strand break repair via homologous recombination,GO:2000781~positive regulation of double-strand break repair,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0031298~replication fork protection complex,GO:0035861~site of double-strand break,	GO:0003677~DNA binding,GO:0005515~protein binding,GO:0042802~identical protein binding,		KW-0090~Biological rhythms,KW-0131~Cell cycle,KW-0132~Cell division,KW-0227~DNA damage,KW-0234~DNA repair,KW-0498~Mitosis,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0158~Chromosome,KW-0539~Nucleus,	KW-0217~Developmental protein,KW-9996~Developmental protein,	KW-0597~Phosphoprotein,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,MUTAGEN:R->G: Abolishes interaction with PARP1.,REGION:Disordered,REGION:Interaction with PARP1,REGION:Required for homodimerization and for interaction with CRY1 and CHEK1,REGION:Required for nuclear localization,
TLR4	toll like receptor 4(TLR4)	Homo sapiens	GO:0002218~activation of innate immune response,GO:0002224~toll-like receptor signaling pathway,GO:0002246~wound healing involved in inflammatory response,GO:0002322~B cell proliferation involved in immune response,GO:0002537~nitric oxide production involved in inflammatory response,GO:0002730~regulation of dendritic cell cytokine production,GO:0002755~MyD88-dependent toll-like receptor signaling pathway,GO:0006809~nitric oxide biosynthetic process,GO:0006909~phagocytosis,GO:0006954~inflammatory response,GO:0006955~immune response,GO:0007252~I-kappaB phosphorylation,GO:0007254~JNK cascade,GO:0010572~positive regulation of platelet activation,GO:0010628~positive regulation of gene expression,GO:0014002~astrocyte development,GO:0014911~positive regulation of smooth muscle cell migration,GO:0016046~detection of fungus,GO:0030890~positive regulation of B cell proliferation,GO:0031663~lipopolysaccharide-mediated signaling pathway,GO:0032496~response to lipopolysaccharide,GO:0032497~detection of lipopolysaccharide,GO:0032689~negative regulation of interferon-gamma production,GO:0032700~negative regulation of interleukin-17 production,GO:0032707~negative regulation of interleukin-23 production,GO:0032715~negative regulation of interleukin-6 production,GO:0032720~negative regulation of tumor necrosis factor production,GO:0032722~positive regulation of chemokine production,GO:0032727~positive regulation of interferon-alpha production,GO:0032728~positive regulation of interferon-beta production,GO:0032729~positive regulation of interferon-gamma production,GO:0032731~positive regulation of interleukin-1 beta production,GO:0032732~positive regulation of interleukin-1 production,GO:0032733~positive regulation of interleukin-10 production,GO:0032735~positive regulation of interleukin-12 production,GO:0032755~positive regulation of interleukin-6 production,GO:0032757~positive regulation of interleukin-8 production,GO:0032760~positive regulation of tumor necrosis factor production,GO:0034142~toll-like receptor 4 signaling pathway,GO:0035666~TRIF-dependent toll-like receptor signaling pathway,GO:0036120~cellular response to platelet-derived growth factor stimulus,GO:0042088~T-helper 1 type immune response,GO:0042116~macrophage activation,GO:0042742~defense response to bacterium,GO:0043032~positive regulation of macrophage activation,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043406~positive regulation of MAP kinase activity,GO:0045087~innate immune response,GO:0045342~MHC class II biosynthetic process,GO:0045348~positive regulation of MHC class II biosynthetic process,GO:0045429~positive regulation of nitric oxide biosynthetic process,GO:0045671~negative regulation of osteoclast differentiation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0046330~positive regulation of JNK cascade,GO:0048661~positive regulation of smooth muscle cell proliferation,GO:0050729~positive regulation of inflammatory response,GO:0050829~defense response to Gram-negative bacterium,GO:0051092~positive regulation of NF-kappaB transcription factor activity,GO:0051770~positive regulation of nitric-oxide synthase biosynthetic process,GO:0060729~intestinal epithelial structure maintenance,GO:0060907~positive regulation of macrophage cytokine production,GO:0070371~ERK1 and ERK2 cascade,GO:0070373~negative regulation of ERK1 and ERK2 cascade,GO:0070374~positive regulation of ERK1 and ERK2 cascade,GO:0070427~nucleotide-binding oligomerization domain containing 1 signaling pathway,GO:0070430~positive regulation of nucleotide-binding oligomerization domain containing 1 signaling pathway,GO:0070431~nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0070434~positive regulation of nucleotide-binding oligomerization domain containing 2 signaling pathway,GO:0071222~cellular response to lipopolysaccharide,GO:0071223~cellular response to lipoteichoic acid,GO:0071260~cellular response to mechanical stimulus,GO:0071346~cellular response to interferon-gamma,GO:1900017~positive regulation of cytokine production involved in inflammatory response,GO:1900227~positive regulation of NLRP3 inflammasome complex assembly,GO:1901224~positive regulation of NIK/NF-kappaB signaling,GO:1903223~positive regulation of oxidative stress-induced neuron death,GO:1903428~positive regulation of reactive oxygen species biosynthetic process,GO:1903974~positive regulation of cellular response to macrophage colony-stimulating factor stimulus,GO:1904466~positive regulation of matrix metallopeptidase secretion,GO:1904646~cellular response to beta-amyloid,GO:2000343~positive regulation of chemokine (C-X-C motif) ligand 2 production,	GO:0001726~ruffle,GO:0001891~phagocytic cup,GO:0005737~cytoplasm,GO:0005769~early endosome,GO:0005794~Golgi apparatus,GO:0005886~plasma membrane,GO:0005887~integral component of plasma membrane,GO:0009897~external side of plasma membrane,GO:0009986~cell surface,GO:0010008~endosome membrane,GO:0016021~integral component of membrane,GO:0031226~intrinsic component of plasma membrane,GO:0043235~receptor complex,GO:0046696~lipopolysaccharide receptor complex,GO:0048471~perinuclear region of cytoplasm,	GO:0001530~lipopolysaccharide binding,GO:0001540~beta-amyloid binding,GO:0001875~lipopolysaccharide receptor activity,GO:0004888~transmembrane signaling receptor activity,GO:0005102~receptor binding,GO:0005515~protein binding,GO:0038023~signaling receptor activity,GO:0042802~identical protein binding,GO:0046982~protein heterodimerization activity,GO:0050135~NAD(P)+ nucleosidase activity,GO:0061809~NAD+ nucleotidase, cyclic ADP-ribose generating,	hsa04064:NF-kappa B signaling pathway,hsa04066:HIF-1 signaling pathway,hsa04145:Phagosome,hsa04151:PI3K-Akt signaling pathway,hsa04217:Necroptosis,hsa04613:Neutrophil extracellular trap formation,hsa04620:Toll-like receptor signaling pathway,hsa04621:NOD-like receptor signaling pathway,hsa04936:Alcoholic liver disease,hsa05130:Pathogenic Escherichia coli infection,hsa05131:Shigellosis,hsa05132:Salmonella infection,hsa05133:Pertussis,hsa05134:Legionellosis,hsa05135:Yersinia infection,hsa05140:Leishmaniasis,hsa05142:Chagas disease,hsa05144:Malaria,hsa05145:Toxoplasmosis,hsa05146:Amoebiasis,hsa05152:Tuberculosis,hsa05161:Hepatitis B,hsa05162:Measles,hsa05164:Influenza A,hsa05170:Human immunodeficiency virus 1 infection,hsa05171:Coronavirus disease - COVID-19,hsa05205:Proteoglycans in cancer,hsa05235:PD-L1 expression and PD-1 checkpoint pathway in cancer,hsa05321:Inflammatory bowel disease,hsa05323:Rheumatoid arthritis,hsa05417:Lipid and atherosclerosis,	KW-0391~Immunity,KW-0395~Inflammatory response,KW-0399~Innate immunity,	KW-0472~Membrane,KW-0966~Cell projection,KW-0967~Endosome,KW-1003~Cell membrane,	KW-0675~Receptor,	KW-0325~Glycoprotein,KW-1015~Disulfide bond,	CARBOHYD:N-linked (GlcNAc...) asparagine,DOMAIN:LRRCT,DOMAIN:TIR,MUTAGEN:D->K: Abolishes LPS-response.,MUTAGEN:E->R: Abolishes LPS-response.,MUTAGEN:H->A: Partially diminishes NF-kappa-B activation induced by Ni(2+). Strongly reduces NF-kappa-B activation induced by Ni(2+); when associated with A-431. Suppresses NF-kappa-B activation induced by Ni(2+); when associated with A-456.,MUTAGEN:H->A: Partially diminishes NF-kappa-B activation induced by Ni(2+). Strongly reduces NF-kappa-B activation induced by Ni(2+); when associated with A-431. Suppresses NF-kappa-B activation induced by Ni(2+); when associated with A-458.,MUTAGEN:H->A: Partially diminishes NF-kappa-B activation induced by Ni(2+). Strongly reduces NF-kappa-B activation induced by Ni(2+); when associated with A-456 or A-458.,MUTAGEN:N->A: Abolishes LPS-response and prevents the cell surface expression.,MUTAGEN:P->H,R,E: Abolishes MYD88-binding and LPS-response.,MUTAGEN:R->E: Abolishes LPS-response.,REPEAT:LRR 1,REPEAT:LRR 10,REPEAT:LRR 11,REPEAT:LRR 12,REPEAT:LRR 13,REPEAT:LRR 14,REPEAT:LRR 15,REPEAT:LRR 16,REPEAT:LRR 17,REPEAT:LRR 18,REPEAT:LRR 2,REPEAT:LRR 3,REPEAT:LRR 4,REPEAT:LRR 5,REPEAT:LRR 6,REPEAT:LRR 7,REPEAT:LRR 8,REPEAT:LRR 9,TOPO_DOM:Cytoplasmic,TOPO_DOM:Extracellular,TRANSMEM:Helical,
TOR1A	torsin family 1 member A(TOR1A)	Homo sapiens	GO:0000338~protein deneddylation,GO:0006979~response to oxidative stress,GO:0006996~organelle organization,GO:0006998~nuclear envelope organization,GO:0007155~cell adhesion,GO:0031175~neuron projection development,GO:0034504~protein localization to nucleus,GO:0044319~wound healing, spreading of cells,GO:0045104~intermediate filament cytoskeleton organization,GO:0048489~synaptic vesicle transport,GO:0048499~synaptic vesicle membrane organization,GO:0051085~chaperone mediated protein folding requiring cofactor,GO:0051584~regulation of dopamine uptake involved in synaptic transmission,GO:0061077~chaperone-mediated protein folding,GO:0071712~ER-associated misfolded protein catabolic process,GO:0071763~nuclear membrane organization,GO:1900244~positive regulation of synaptic vesicle endocytosis,GO:2000008~regulation of protein localization to cell surface,	GO:0005635~nuclear envelope,GO:0005783~endoplasmic reticulum,GO:0005788~endoplasmic reticulum lumen,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0008021~synaptic vesicle,GO:0016020~membrane,GO:0030141~secretory granule,GO:0030426~growth cone,GO:0030659~cytoplasmic vesicle membrane,GO:0031965~nuclear membrane,GO:0042406~extrinsic component of endoplasmic reticulum membrane,GO:0043231~intracellular membrane-bounded organelle,GO:0045202~synapse,GO:0070062~extracellular exosome,GO:0070161~anchoring junction,	GO:0005515~protein binding,GO:0005524~ATP binding,GO:0008092~cytoskeletal protein binding,GO:0016787~hydrolase activity,GO:0016887~ATPase activity,GO:0019894~kinesin binding,GO:0042802~identical protein binding,GO:0051082~unfolded protein binding,GO:0051787~misfolded protein binding,			KW-0206~Cytoskeleton,KW-0256~Endoplasmic reticulum,KW-0472~Membrane,KW-0539~Nucleus,KW-0770~Synapse,KW-0963~Cytoplasm,KW-0965~Cell junction,KW-0966~Cell projection,KW-0968~Cytoplasmic vesicle,	KW-0143~Chaperone,KW-0378~Hydrolase,	KW-0325~Glycoprotein,	CARBOHYD:N-linked (GlcNAc...) (high mannose) asparagine,MUTAGEN:A->F: Inhibits sequence signal cleavage.,MUTAGEN:E->Q: Loss of ATP hydrolysis. Loss of interaction with KLHL14. Localizes in the nuclear envelope. No effect on interaction with TOR1AIP1.,MUTAGEN:K->A: Loss of ATP-binding. No effect on interaction with KLHL14. Increases interaction with TOR1AIP1 and TOR1AIP2. Abolishes interaction with SLC6A3.,MUTAGEN:N->Q: Reduces N-glycosylation.,MUTAGEN:V->F: Inhibits sequence signal cleavage.,MUTAGEN:V->N: N-glycosylated.,NP_BIND:ATP,REGION:Interaction with KLC1,REGION:Interaction with SNAPIN,REGION:Interaction with SYNE3,
TLK2	tousled like kinase 2(TLK2)	Homo sapiens	GO:0001672~regulation of chromatin assembly or disassembly,GO:0006325~chromatin organization,GO:0006468~protein phosphorylation,GO:0006974~cellular response to DNA damage stimulus,GO:0007049~cell cycle,GO:0007059~chromosome segregation,GO:0010507~negative regulation of autophagy,GO:0018105~peptidyl-serine phosphorylation,GO:0032435~negative regulation of proteasomal ubiquitin-dependent protein catabolic process,GO:0035556~intracellular signal transduction,GO:0071480~cellular response to gamma radiation,GO:1902275~regulation of chromatin organization,	GO:0005634~nucleus,GO:0005882~intermediate filament,GO:0048471~perinuclear region of cytoplasm,	GO:0004674~protein serine/threonine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0042802~identical protein binding,		KW-0131~Cell cycle,KW-0227~DNA damage,	KW-0206~Cytoskeleton,KW-0539~Nucleus,KW-0963~Cytoplasm,	KW-0156~Chromatin regulator,KW-0418~Kinase,KW-0723~Serine/threonine-protein kinase,KW-0808~Transferase,	KW-0597~Phosphoprotein,	ACT_SITE:Proton acceptor,BINDING:ATP,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:Protein kinase,MUTAGEN:D->A: Loss of kinase activity.,NP_BIND:ATP,REGION:Disordered,
TRAK2	trafficking kinesin protein 2(TRAK2)	Homo sapiens	GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006493~protein O-linked glycosylation,GO:0006605~protein targeting,GO:0008333~endosome to lysosome transport,GO:0022008~neurogenesis,GO:0047496~vesicle transport along microtubule,GO:0048311~mitochondrion distribution,GO:0048813~dendrite morphogenesis,GO:0050771~negative regulation of axonogenesis,GO:0098957~anterograde axonal transport of mitochondrion,GO:0098972~anterograde dendritic transport of mitochondrion,	GO:0005634~nucleus,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005769~early endosome,GO:0005829~cytosol,GO:0005886~plasma membrane,GO:0030425~dendrite,GO:0031410~cytoplasmic vesicle,GO:0032839~dendrite cytoplasm,GO:0043025~neuronal cell body,GO:0044295~axonal growth cone,GO:1904115~axon cytoplasm,	GO:0005102~receptor binding,GO:0005515~protein binding,GO:0017022~myosin binding,GO:0019894~kinesin binding,GO:0019899~enzyme binding,GO:0030911~TPR domain binding,GO:0050811~GABA receptor binding,	hsa04727:GABAergic synapse,	KW-0813~Transport,	KW-0496~Mitochondrion,KW-0963~Cytoplasm,KW-0967~Endosome,		KW-0325~Glycoprotein,KW-0597~Phosphoprotein,	COMPBIAS:Polar residues,COMPBIAS:Pro residues,DOMAIN:HAP1 N-terminal,DOMAIN:Milton,REGION:Disordered,REGION:Interaction with HGS,
TRAPPC3	trafficking protein particle complex subunit 3(TRAPPC3)	Homo sapiens	GO:0006888~ER to Golgi vesicle-mediated transport,GO:0006891~intra-Golgi vesicle-mediated transport,GO:0006901~vesicle coating,GO:0048193~Golgi vesicle transport,GO:0048208~COPII vesicle coating,GO:0099022~vesicle tethering,	GO:0000139~Golgi membrane,GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005829~cytosol,GO:0030008~TRAPP complex,GO:0033106~cis-Golgi network membrane,GO:1990071~TRAPPII protein complex,GO:1990072~TRAPPIII protein complex,	GO:0005515~protein binding,		KW-0813~Transport,KW-0931~ER-Golgi transport,	KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,		KW-0449~Lipoprotein,KW-0564~Palmitate,	LIPID:S-palmitoyl cysteine,MUTAGEN:C->S: Loss of palmitoylation.,MUTAGEN:DYE->KVR: Impairs interaction with TRAPPC1.,
TRAPPC6A	trafficking protein particle complex subunit 6A(TRAPPC6A)	Homo sapiens	GO:0006888~ER to Golgi vesicle-mediated transport,GO:0043087~regulation of GTPase activity,GO:0048193~Golgi vesicle transport,GO:0048208~COPII vesicle coating,GO:0099022~vesicle tethering,GO:1903232~melanosome assembly,	GO:0005737~cytoplasm,GO:0005783~endoplasmic reticulum,GO:0005794~Golgi apparatus,GO:0005801~cis-Golgi network,GO:0005802~trans-Golgi network,GO:0005829~cytosol,GO:0030008~TRAPP complex,GO:1990072~TRAPPIII protein complex,	GO:0005515~protein binding,		KW-0813~Transport,KW-0931~ER-Golgi transport,	KW-0256~Endoplasmic reticulum,KW-0333~Golgi apparatus,		KW-0597~Phosphoprotein,
TCEAL4	transcription elongation factor A like 4(TCEAL4)	Homo sapiens		GO:0005634~nucleus,	GO:0003746~translation elongation factor activity,GO:0005515~protein binding,GO:0050699~WW domain binding,		KW-0648~Protein biosynthesis,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,	KW-0251~Elongation factor,	KW-0007~Acetylation,KW-0597~Phosphoprotein,	COMPBIAS:Basic and acidic residues,REGION:Disordered,
TCEA2	transcription elongation factor A2(TCEA2)	Homo sapiens	GO:0006351~transcription, DNA-templated,GO:0006354~DNA-templated transcription, elongation,GO:0006355~regulation of transcription, DNA-templated,GO:0006368~transcription elongation from RNA polymerase II promoter,GO:0032784~regulation of DNA-templated transcription, elongation,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005813~centrosome,GO:0008023~transcription elongation factor complex,	GO:0003676~nucleic acid binding,GO:0003677~DNA binding,GO:0003746~translation elongation factor activity,GO:0005515~protein binding,GO:0008270~zinc ion binding,		KW-0648~Protein biosynthesis,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,	KW-0238~DNA-binding,KW-0251~Elongation factor,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in ubiquitin),DOMAIN:TFIIS N-terminal,DOMAIN:TFIIS central,DOMAIN:TFIIS-type,METAL:Zinc,REGION:Disordered,ZN_FING:TFIIS-type,
TCERG1	transcription elongation regulator 1(TCERG1)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006397~mRNA processing,GO:0008380~RNA splicing,GO:0032968~positive regulation of transcription elongation from RNA polymerase II promoter,GO:0034244~negative regulation of transcription elongation from RNA polymerase II promoter,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,	GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0016607~nuclear speck,	GO:0003712~transcription cofactor activity,GO:0003713~transcription coactivator activity,GO:0003714~transcription corepressor activity,GO:0003723~RNA binding,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0044390~ubiquitin-like protein conjugating enzyme binding,GO:0061629~RNA polymerase II sequence-specific DNA binding transcription factor binding,GO:0070063~RNA polymerase binding,	hsa03040:Spliceosome,	KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,	KW-0010~Activator,KW-0678~Repressor,	KW-0488~Methylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),DOMAIN:FF,DOMAIN:FF 1,DOMAIN:FF 2,DOMAIN:FF 3,DOMAIN:FF 4,DOMAIN:FF 5,DOMAIN:FF 6,DOMAIN:WW,DOMAIN:WW 1,DOMAIN:WW 2,DOMAIN:WW 3,MOTIF:Nuclear localization signal,MUTAGEN:FFY->AAA: No effect.,MUTAGEN:YYY->AAA: Loss of interaction with SF1. Reduces repression of transcription by 35%. Reduces repression of transcription by 63%; when associated with 148-AAA-150.,MUTAGEN:YYY->AAA: Reduces repression of transcription by 35%. Reduces repression of transcription by 63%; when associated with 446-AAA-448.,REGION:Disordered,
TFAP2A	transcription factor AP-2 alpha(TFAP2A)	Homo sapiens	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0001822~kidney development,GO:0003404~optic vesicle morphogenesis,GO:0003409~optic cup structural organization,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0007605~sensory perception of sound,GO:0008285~negative regulation of cell proliferation,GO:0010628~positive regulation of gene expression,GO:0010842~retina layer formation,GO:0010944~negative regulation of transcription by competitive promoter binding,GO:0021559~trigeminal nerve development,GO:0021623~oculomotor nerve formation,GO:0030501~positive regulation of bone mineralization,GO:0035115~embryonic forelimb morphogenesis,GO:0042127~regulation of cell proliferation,GO:0042472~inner ear morphogenesis,GO:0043066~negative regulation of apoptotic process,GO:0043525~positive regulation of neuron apoptotic process,GO:0045595~regulation of cell differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045893~positive regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048701~embryonic cranial skeleton morphogenesis,GO:0048856~anatomical structure development,GO:0060021~palate development,GO:0060349~bone morphogenesis,GO:0061029~eyelid development in camera-type eye,GO:0070172~positive regulation of tooth mineralization,GO:0071281~cellular response to iron ion,GO:2000378~negative regulation of reactive oxygen species metabolic process,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,	GO:0000976~transcription regulatory region sequence-specific DNA binding,GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003682~chromatin binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0042802~identical protein binding,GO:0043565~sequence-specific DNA binding,GO:1990837~sequence-specific double-stranded DNA binding,		KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,	KW-0010~Activator,KW-0238~DNA-binding,	KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,KW-1017~Isopeptide bond,	COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,COMPBIAS:Pro residues,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO); alternate,CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2),CROSSLNK:Glycyl lysine isopeptide (Lys-Gly) (interchain with G-Cter in SUMO2); alternate,DOMAIN:TF_AP-2,MOTIF:PPxY motif,MUTAGEN:S->A: No phosphorylation.,REGION:Disordered,REGION:H-S-H (helix-span-helix), dimerization,
TFDP1	transcription factor Dp-1(TFDP1)	Homo sapiens	GO:0000083~regulation of transcription involved in G1/S transition of mitotic cell cycle,GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007049~cell cycle,GO:0008544~epidermis development,GO:0043276~anoikis,GO:0043433~negative regulation of sequence-specific DNA binding transcription factor activity,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0051091~positive regulation of sequence-specific DNA binding transcription factor activity,GO:0051726~regulation of cell cycle,GO:0070345~negative regulation of fat cell proliferation,GO:1900087~positive regulation of G1/S transition of mitotic cell cycle,GO:2000278~regulation of DNA biosynthetic process,	GO:0000785~chromatin,GO:0005634~nucleus,GO:0005654~nucleoplasm,GO:0005667~transcription factor complex,GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0035189~Rb-E2F complex,GO:0090575~RNA polymerase II transcription factor complex,	GO:0000977~RNA polymerase II regulatory region sequence-specific DNA binding,GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0000987~core promoter proximal region sequence-specific DNA binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003677~DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0005515~protein binding,GO:0008134~transcription factor binding,GO:0019904~protein domain specific binding,	hsa04110:Cell cycle,hsa04350:TGF-beta signaling pathway,	KW-0131~Cell cycle,KW-0804~Transcription,KW-0805~Transcription regulation,	KW-0539~Nucleus,KW-0963~Cytoplasm,	KW-0010~Activator,KW-0238~DNA-binding,	KW-0007~Acetylation,KW-0597~Phosphoprotein,KW-0832~Ubl conjugation,	COMPBIAS:Acidic residues,COMPBIAS:Basic and acidic residues,COMPBIAS:Polar residues,DOMAIN:DP,DOMAIN:E2F_TDP,MOTIF:DEF box,REGION:DCB1,REGION:DCB2,REGION:Dimerization,REGION:Disordered,REGION:Enhances binding of RB protein to E2F,REGION:Interaction with CEBPA,
